ISO3,p_intervention,n_intervention,p_legality,n_legality,p_util,n_util,p_gender,n_gender,p_social,n_social,p_age,n_age
ZAF,0.5423440292790875,23498,0.34329149726003183,5657,0.3945514325974636,4258,0.20040588533739218,3942,0.4431401320616288,1363,0.38487438487438486,3861
VNM,0.5331083252973321,18666,0.33911706567098615,4553,0.3799337149743899,3319,0.2071024512884978,3182,0.45142296368989204,1019,0.38583955829814875,3079
VEN,0.5204711693739907,10527,0.35358682869462954,2551,0.3902179691653376,1881,0.18935574229691876,1785,0.4435215946843854,602,0.40420560747663553,1712
UZB,0.5091362126245847,1204,0.36013986013986016,286,0.42792792792792794,222,0.25742574257425743,202,0.417910447761194,67,0.4083769633507853,191
USA,0.5397692307692308,39000,0.2584687267707338,9417,0.39062277326492806,7017,0.17750943396226415,6625,0.38490041685965726,2159,0.35642023346303503,6425
URY,0.5281936922586811,9417,0.36300174520069806,2292,0.39800117577895355,1701,0.2069608452454941,1609,0.4651600753295669,531,0.39448364336112896,1559
UKR,0.5538717948717948,39000,0.2755846384895945,9322,0.35660988314796566,7103,0.18813226634455685,6623,0.3635110294117647,2176,0.33821239489255683,6422
TWN,0.5578120599555653,31957,0.3689716764480735,7838,0.356195462478185,5730,0.2180547894833609,5439,0.39414802065404475,1743,0.3497792282587829,5209
TUR,0.521948717948718,39000,0.2594764852829369,9207,0.37646560248622685,7079,0.18596544407396182,6598,0.40550293188994135,2217,0.38486945580371185,6358
TUN,0.532276119402985,5360,0.3652246256239601,1202,0.38894681960375393,959,0.19584245076586435,914,0.4511784511784512,297,0.3950892857142857,896
TTO,0.496133254015467,1681,0.336283185840708,452,0.43666666666666665,300,0.21254355400696864,287,0.3956043956043956,91,0.3505535055350554,271
THA,0.5533509088386291,14414,0.369472182596291,3505,0.37254145777092174,2593,0.21983805668016193,2470,0.43324607329842935,764,0.35865874363327677,2356
SYR,0.5379113018597997,699,0.3508771929824561,171,0.33064516129032256,124,0.17647058823529413,119,0.3902439024390244,41,0.3739130434782609,115
SWE,0.5488974358974359,39000,0.25857294994675184,9390,0.3706143491336102,6983,0.18953068592057762,6648,0.34688346883468835,2214,0.35168766526676,6429
SVN,0.5403915391539154,8888,0.3527827648114901,2228,0.3945068664169788,1602,0.2073732718894009,1519,0.413135593220339,472,0.3856749311294766,1452
SVK,0.5431794871794872,39000,0.302453195610071,9294,0.38060239227554404,6939,0.18707738542449287,6655,0.3974121996303142,2164,0.3775526110678098,6415
SRB,0.5427636066021007,14662,0.35767511177347244,3355,0.3961260919103684,2633,0.2327170418006431,2488,0.4292866082603254,799,0.39263549855192387,2417
SLV,0.5208191126279863,1465,0.3617021276595745,376,0.3916349809885932,263,0.2,250,0.45348837209302323,86,0.3869565217391304,230
SGP,0.542,39000,0.26671724287417364,9227,0.38193657984144963,7064,0.1816123188405797,6624,0.38066880439761797,2183,0.3408984191579277,6389
SAU,0.5204455371030053,19931,0.35297872340425535,4700,0.3913905409232512,3531,0.23349955998826635,3409,0.4302430243024302,1111,0.3613394216133942,3285
RUS,0.5482564102564103,39000,0.2734241908006814,9392,0.36756142593381624,7041,0.2031770045385779,6610,0.38606143970655665,2181,0.33598007161762417,6423
ROU,0.5444615384615384,39000,0.3039332538736591,9229,0.38265666996746356,7069,0.1987295825771325,6612,0.4005550416281221,2162,0.3743980114960385,6437
REU,0.536228287841191,4030,0.3663751214771623,1029,0.39452054794520547,730,0.13537117903930132,687,0.45495495495495497,222,0.4133738601823708,658
QAT,0.5247829739568748,3571,0.3501762632197415,851,0.37871674491392804,639,0.22682119205298013,604,0.38095238095238093,210,0.36115843270868825,587
PYF,0.5237580993520519,926,0.3803418803418803,234,0.42168674698795183,166,0.2012987012987013,154,0.4426229508196721,61,0.41830065359477125,153
PSE,0.519280205655527,2334,0.3249097472924188,554,0.36384439359267734,437,0.21428571428571427,392,0.4357142857142857,140,0.3674540682414698,381
PRY,0.5346358792184724,2252,0.35020242914979755,494,0.38256658595641646,413,0.2198952879581152,382,0.4966442953020134,149,0.41208791208791207,364
PRT,0.5377948717948718,39000,0.27234410461471953,9253,0.3831373673644967,6974,0.16875282762780877,6631,0.3591967138293017,2191,0.3579572075589567,6403
PRI,0.5285631852279284,3466,0.34085510688836107,842,0.3832807570977918,634,0.20677966101694914,590,0.5054945054945055,182,0.4051724137931034,580
POL,0.5431282051282051,39000,0.2773251507776955,9451,0.36700055648302726,7188,0.18073938840712003,6573,0.3584905660377358,2279,0.3521060104117369,6339
PHL,0.5316081537045816,35861,0.3602717263996252,8538,0.3746110765401369,6428,0.2063906097163352,6134,0.4427987742594484,1958,0.35850973751058424,5905
PER,0.5405479452054794,10950,0.35770668882426254,2407,0.3904320987654321,1944,0.19447453954496208,1846,0.46411483253588515,627,0.3907028223574986,1807
PAN,0.5541147132169576,2005,0.3672566371681416,452,0.38526912181303113,353,0.17857142857142858,336,0.4262295081967213,122,0.3875,320
PAK,0.5253091508656225,6065,0.33043478260869563,1495,0.39541284403669724,1090,0.22539370078740156,1016,0.3914285714285714,350,0.3722554890219561,1002
OMN,0.5197568389057751,987,0.3632075471698113,212,0.4011299435028249,177,0.16470588235294117,170,0.40350877192982454,57,0.391304347826087,161
NZL,0.5549487179487179,39000,0.3164364190144675,9193,0.3945500993471473,7046,0.19836710009071667,6614,0.40370370370370373,2160,0.3737924587098785,6418
NPL,0.49740932642487046,965,0.3472222222222222,216,0.40229885057471265,174,0.25748502994011974,167,0.5294117647058824,51,0.36875,160
NOR,0.5473333333333333,39000,0.27479536515360903,9407,0.3848684210526316,6992,0.19018220147568138,6641,0.352676563202879,2223,0.36832151300236404,6345
NLD,0.5566410256410257,39000,0.26406697043551974,9437,0.36747159090909093,7040,0.1769790718835305,6594,0.3467815049864007,2206,0.34269662921348315,6408
NIC,0.5471478463329453,859,0.3488372093023256,215,0.39622641509433965,159,0.2236842105263158,152,0.5945945945945946,37,0.4057971014492754,138
NGA,0.4911504424778761,452,0.3333333333333333,105,0.375,80,0.2625,80,0.5416666666666666,24,0.36,75
NCL,0.5186915887850467,1284,0.38283828382838286,303,0.4025974025974026,231,0.2079646017699115,226,0.5333333333333333,75,0.4131455399061033,213
MYS,0.5375495703899538,24208,0.361590524534687,5910,0.3779981549815498,4336,0.2190684133915575,4122,0.4361779722830051,1371,0.35841484825683473,3987
MUS,0.5415762834417932,1383,0.3408360128617363,311,0.4085603112840467,257,0.18907563025210083,238,0.4142857142857143,70,0.4217391304347826,230
MTQ,0.5399753997539976,813,0.34972677595628415,183,0.4,150,0.1893939393939394,132,0.4375,48,0.4411764705882353,136
MNG,0.5652565256525652,1111,0.3705179282868526,251,0.41346153846153844,208,0.2512820512820513,195,0.43478260869565216,46,0.40782122905027934,179
MNE,0.5092518101367659,1243,0.38461538461538464,325,0.41517857142857145,224,0.21962616822429906,214,0.4782608695652174,69,0.3681592039800995,201
MMR,0.5071895424836601,765,0.3157894736842105,190,0.4295774647887324,142,0.18181818181818182,132,0.42105263157894735,38,0.3858267716535433,127
MLT,0.5281786941580756,2910,0.38064516129032255,620,0.3798449612403101,516,0.19595959595959597,495,0.4539877300613497,163,0.3816326530612245,490
MKD,0.554670528602462,2762,0.3602391629297459,669,0.38336713995943206,493,0.26170212765957446,470,0.4444444444444444,153,0.3826086956521739,460
MEX,0.5244358974358975,39000,0.27458972433765955,9323,0.37100213219616207,7035,0.1724241967114195,6629,0.4082004555808656,2195,0.36612193588937775,6364
MDV,0.6135770234986945,383,0.36904761904761907,84,0.3484848484848485,66,0.22727272727272727,66,0.4375,16,0.36666666666666664,60
MDG,0.5297297297297298,370,0.32051282051282054,78,0.37142857142857144,70,0.171875,64,0.5909090909090909,22,0.27586206896551724,58
MDA,0.5276679841897233,3036,0.35253772290809327,729,0.39377289377289376,546,0.22648752399232247,521,0.44516129032258067,155,0.3850806451612903,496
MCO,0.4963325183374083,409,0.3645833333333333,96,0.4305555555555556,72,0.15625,64,0.47619047619047616,21,0.36231884057971014,69
MAR,0.5339062208107603,10706,0.3624521072796935,2610,0.40463917525773196,1940,0.2019650655021834,1832,0.45595854922279794,579,0.4005681818181818,1760
MAC,0.5432595573440644,994,0.3953488372093023,215,0.3275862068965517,174,0.2441860465116279,172,0.37735849056603776,53,0.4166666666666667,168
LVA,0.5533644558918223,12424,0.35212224108658746,2945,0.396875,2240,0.20990004759638267,2101,0.44366197183098594,710,0.3832684824902724,2056
LUX,0.5556596200160556,7474,0.35876993166287013,1756,0.41102941176470587,1360,0.19500780031201248,1282,0.40669856459330145,418,0.38385502471169686,1214
LTU,0.5346636941982491,18391,0.34263671431813025,4407,0.3841221374045802,3275,0.21166719795983424,3137,0.4447646493756004,1041,0.39266666666666666,3000
LKA,0.5650557620817844,1614,0.37404580152671757,393,0.36042402826855124,283,0.20437956204379562,274,0.43010752688172044,93,0.3940520446096654,269
LBN,0.5085022129047286,4293,0.37927461139896373,965,0.39271781534460337,769,0.2243502051983584,731,0.3958333333333333,240,0.3971830985915493,710
KWT,0.5338901381304209,3113,0.36941813261163736,739,0.38405797101449274,552,0.2215909090909091,528,0.3977272727272727,176,0.368836291913215,507
KOR,0.5416153846153846,39000,0.3038507172904757,9271,0.36149228130360206,6996,0.18581132075471699,6625,0.380046403712297,2155,0.3312674310505113,6454
KHM,0.5626283367556468,1461,0.35777126099706746,341,0.36742424242424243,264,0.17716535433070865,254,0.5223880597014925,67,0.36929460580912865,241
KGZ,0.5799803729146222,1019,0.36666666666666664,240,0.32608695652173914,184,0.21787709497206703,179,0.4166666666666667,60,0.3522012578616352,159
KEN,0.5806451612903226,1333,0.3273381294964029,278,0.3795918367346939,245,0.19457013574660634,221,0.4268292682926829,82,0.3755868544600939,213
KAZ,0.5250495049504951,10100,0.36252115059221657,2364,0.395947426067908,1826,0.2329246935201401,1713,0.3827392120075047,533,0.39039039039039036,1665
JPN,0.5446410256410257,39000,0.26608470740381507,9279,0.33859275053304905,7035,0.18180446590223295,6628,0.35968028419182946,2252,0.32888749411580104,6373
JOR,0.5297709923664122,7205,0.3420138888888889,1728,0.3839881393624907,1349,0.23432343234323433,1212,0.4292565947242206,417,0.36083333333333334,1200
JEY,0.49768875192604006,649,0.34523809523809523,168,0.3983050847457627,118,0.22807017543859648,114,0.625,32,0.42452830188679247,106
JAM,0.4863883847549909,1102,0.3269961977186312,263,0.4,190,0.24468085106382978,188,0.5303030303030303,66,0.3945945945945946,185
ITA,0.5365641025641026,39000,0.2532392289055093,9493,0.3701162302198572,7141,0.16743189470462197,6534,0.3490440195642508,2249,0.3893889152060635,6333
ISR,0.5249230769230769,39000,0.30424126172208016,9384,0.40403895731881984,6982,0.20832077178173047,6634,0.41936936936936936,2220,0.3625136782866969,6397
ISL,0.5666508538899431,4216,0.3297244094488189,1016,0.3745072273324573,761,0.2114047287899861,719,0.31092436974789917,238,0.391304347826087,690
IRQ,0.5282620179609087,1893,0.3524416135881104,471,0.38461538461538464,338,0.22082018927444794,317,0.3853211009174312,109,0.3904761904761905,315
IRN,0.5337186897880539,4152,0.3252747252747253,910,0.41120218579234974,732,0.2145922746781116,699,0.38392857142857145,224,0.4072398190045249,663
IRL,0.5415641025641026,39000,0.33860932212640543,9161,0.39328400682982356,7028,0.21860394994723353,6633,0.412227883279296,2159,0.3910396503278177,6406
IND,0.5378205128205128,39000,0.32428602572487464,9174,0.3837883717640402,7069,0.2053638692180202,6637,0.408011178388449,2147,0.3642644057151829,6369
IMN,0.5367483296213809,898,0.3769633507853403,191,0.41975308641975306,162,0.23717948717948717,156,0.3617021276595745,47,0.4066666666666667,150
IDN,0.5316786414108425,30620,0.36331377098403167,7327,0.38467153284671535,5480,0.2196809532961753,5203,0.4286536248561565,1738,0.3632019115890084,5022
HUN,0.5393076923076923,39000,0.26217471115430296,9261,0.3840011614401858,6888,0.16925629808417558,6629,0.40400363967242947,2198,0.36996280223186606,6452
HRV,0.541614772296529,18467,0.3587155963302752,4360,0.4120994309673555,3339,0.21022364217252396,3130,0.44061302681992337,1044,0.39443155452436196,3017
HND,0.5431218816821097,1403,0.3508771929824561,342,0.34901960784313724,255,0.24034334763948498,233,0.44565217391304346,92,0.3922413793103448,232
HKG,0.5599077028258888,35104,0.37209302325581395,8643,0.383535719917994,6341,0.22507984535216002,5949,0.41878172588832485,1970,0.36346254128280897,5753
GUM,0.517193947730399,727,0.37888198757763975,161,0.4444444444444444,135,0.21774193548387097,124,0.5,44,0.3793103448275862,116
GTM,0.5169424743892829,3807,0.3293216630196937,914,0.3830703012912482,697,0.20251177394034536,637,0.5162790697674419,215,0.37333333333333335,600
GRC,0.541025641025641,39000,0.35694173705869614,9234,0.3891830018600658,6989,0.22416127576350234,6647,0.4118476727785614,2127,0.39660277388187626,6417
GGY,0.568935427574171,573,0.32,125,0.4,100,0.22340425531914893,94,0.42857142857142855,35,0.41935483870967744,93
GEO,0.5275494672754947,3285,0.3531645569620253,790,0.37436762225969644,593,0.24464285714285713,560,0.42441860465116277,172,0.3678373382624769,541
GBR,0.5412307692307692,39000,0.25889412773253323,9332,0.3929128277817151,7055,0.1859903381642512,6624,0.3786101083032491,2216,0.35040726817042606,6384
FRA,0.5306923076923077,39000,0.27518796992481204,9310,0.3983809118023008,7041,0.15078644888082274,6612,0.37257555254848895,2217,0.3914746904873844,6381
FIN,0.5528205128205128,39000,0.2674714104193138,9444,0.3637271689497717,7008,0.17412935323383086,6633,0.33962264150943394,2226,0.339746597841389,6393
EST,0.5579060836758067,14843,0.3679890560875513,3655,0.39279008636875706,2663,0.21251475796930341,2541,0.4491844416562108,797,0.3862607980255039,2431
ESP,0.5378205128205128,39000,0.2682069846678024,9392,0.3913228413441089,7053,0.17345239897078857,6607,0.35548617305976804,2242,0.36563185951709,6378
EGY,0.525259596313149,8571,0.3693737769080235,2044,0.3906856403622251,1546,0.21487603305785125,1452,0.4497907949790795,478,0.3804878048780488,1435
ECU,0.5364843884767984,5797,0.35587188612099646,1405,0.38996138996138996,1036,0.19690721649484536,970,0.4415204678362573,342,0.39895833333333336,960
DZA,0.5272749814034218,8066,0.35579064587973275,1796,0.38842398884239887,1434,0.22002923976608188,1368,0.42424242424242425,462,0.40119313944817303,1341
DOM,0.5265822784810127,3950,0.3576233183856502,892,0.40625,704,0.18666666666666668,675,0.4583333333333333,216,0.4009216589861751,651
DNK,0.559025641025641,39000,0.2937889533634214,9306,0.38555587148137616,7034,0.19356786954552319,6623,0.3883051621745089,2189,0.3439360701974303,6382
DEU,0.548025641025641,39000,0.26556192904185255,9414,0.37551778317383233,7001,0.1792594822396147,6644,0.35346441947565543,2136,0.3519675202998126,6404
CZE,0.5448461538461539,39000,0.2711625893050444,9238,0.37564841498559076,6940,0.17453397474443777,6652,0.37935717519239476,2209,0.35118306351183065,6424
CYP,0.5604395604395604,3458,0.35722819593787336,837,0.38412698412698415,630,0.23979591836734693,588,0.41847826086956524,184,0.38028169014084506,568
CRI,0.5263769954540649,9459,0.355985598559856,2222,0.3984830805134189,1714,0.20481184454040716,1621,0.4555984555984556,518,0.3879641485275288,1562
COL,0.5241695723986053,27245,0.34572490706319703,6456,0.4044013729053099,4953,0.19137001078748653,4635,0.46033810143042914,1538,0.40220571685797885,4443
CHN,0.5715641025641026,39000,0.35952304907910143,9393,0.36010854816824966,7370,0.2119969627942293,6585,0.4152583293095123,2071,0.3395071417359912,6371
CHL,0.5310376422081393,26194,0.36438313701177927,6452,0.3945592576971742,4742,0.20977460388306182,4481,0.42979330007127586,1403,0.3797350685568208,4303
CHE,0.5474358974358975,39000,0.2708827973235485,9266,0.37847469707769066,7015,0.17720754716981132,6625,0.35199283475145543,2233,0.356104423948726,6397
CAN,0.5374358974358975,39000,0.26218851570964247,9230,0.40425531914893614,7003,0.182010582010582,6615,0.3739209450249886,2201,0.3556524447212706,6422
BRN,0.5762867647058824,1088,0.41013824884792627,217,0.34673366834170855,199,0.1945945945945946,185,0.4603174603174603,63,0.3575418994413408,179
BRB,0.5625,400,0.3493975903614458,83,0.32432432432432434,74,0.18571428571428572,70,0.5238095238095238,21,0.36507936507936506,63
